3001,16,175,08404,Xã Tạ Xá,xa-ta-xa,8404
3002,16,175,08407,Xã Phú Lạc,xa-phu-lac,8407
3003,16,175,08413,Xã Chương Xá,xa-chuong-xa,8413
3004,16,175,08416,Xã Hùng Việt,xa-hung-viet,8416
3005,16,175,08419,Xã Văn Khúc,xa-van-khuc,8419
3006,16,175,08422,Xã Yên Dưỡng,xa-yen-duong,8422
3007,16,175,08428,Xã Điêu Lương,xa-dieu-luong,8428
3008,16,175,08431,Xã Đồng Lương,xa-dong-luong,8431
3009,16,176,08434,Thị trấn Hưng Hoá,thi-tran-hung-hoa,8434
3010,16,176,08440,Xã Hiền Quan,xa-hien-quan,8440
3011,16,176,08443,Xã Bắc Sơn,xa-bac-son,8443
3012,16,176,08446,Xã Thanh Uyên,xa-thanh-uyen,8446
3013,16,176,08461,Xã Lam Sơn,xa-lam-son,8461
3014,16,176,08467,Xã Vạn Xuân,xa-van-xuan,8467
3015,16,176,08470,Xã Quang Húc,xa-quang-huc,8470
3016,16,176,08473,Xã Hương Nộn,xa-huong-non,8473
3017,16,176,08476,Xã Tề Lễ,xa-te-le,8476
3018,16,176,08479,Xã Thọ Văn,xa-tho-van,8479
3019,16,176,08482,Xã Dị Nậu,xa-di-nau,8482
3020,16,176,08491,Xã Dân Quyền,xa-dan-quyen,8491
3021,16,177,08494,Thị trấn Lâm Thao,thi-tran-lam-thao,8494
3022,16,177,08497,Xã Tiên Kiên,xa-tien-kien,8497
3023,16,177,08498,Thị trấn Hùng Sơn,thi-tran-hung-son,8498
3024,16,177,08500,Xã Xuân Lũng,xa-xuan-lung,8500
3025,16,177,08509,Xã Xuân Huy,xa-xuan-huy,8509
3026,16,177,08512,Xã Thạch Sơn,xa-thach-son,8512
3027,16,177,08518,Xã Sơn Vi,xa-son-vi,8518
3028,16,177,08521,Xã Phùng Nguyên,xa-phung-nguyen,8521
3029,16,177,08527,Xã Cao Xá,xa-cao-xa,8527
3030,16,177,08533,Xã Vĩnh Lại,xa-vinh-lai,8533
3031,16,177,08536,Xã Tứ Xã,xa-tu-xa,8536
